time,PERIMETER-HEAD,PERIMETER-HEADS
624.0000000000,.3000000000000000E+31,-2993759.834198013
625.0000000000,.3000000000000000E+31,-2986029.632435097
626.0000000000,.3000000000000000E+31,-4438549.415403071
627.0000000000,.3000000000000000E+31,-3105582.386722687
628.0000000000,.3000000000000000E+31,-3082662.722945720
629.0000000000,.3000000000000000E+31,-3075082.648198502
630.0000000000,.3000000000000000E+31,-3066068.513797462
631.0000000000,.3000000000000000E+31,-3057255.468491301
632.0000000000,.3000000000000000E+31,-3097597.910267985
633.0000000000,.3000000000000000E+31,-6091571.481363942
634.0000000000,.3000000000000000E+31,-5064869.497472883
635.0000000000,.3000000000000000E+31,-5057662.579134438
636.0000000000,.3000000000000000E+31,-4442748.562732099
637.0000000000,.3000000000000000E+31,-3548998.434466047
638.0000000000,.3000000000000000E+31,-3515679.679854332
639.0000000000,.3000000000000000E+31,-3438062.880132139
640.0000000000,.3000000000000000E+31,-5031487.047425605
641.0000000000,.3000000000000000E+31,-3547269.957414126
642.0000000000,.3000000000000000E+31,-3512108.993283286
643.0000000000,.3000000000000000E+31,-3494902.132785736
644.0000000000,.3000000000000000E+31,-3477874.225827151
645.0000000000,.3000000000000000E+31,-3466227.722568383
646.0000000000,.3000000000000000E+31,-3447943.847598630
647.0000000000,.3000000000000000E+31,-3432019.828194345
648.0000000000,.3000000000000000E+31,-3416761.245505183
649.0000000000,.3000000000000000E+31,-4846935.194510947
650.0000000000,.3000000000000000E+31,-3955963.184580199
651.0000000000,.3000000000000000E+31,-3593381.971587093
652.0000000000,.3000000000000000E+31,-3512008.142137162
653.0000000000,.3000000000000000E+31,-3492012.759839976
654.0000000000,.3000000000000000E+31,-3469541.101479796
655.0000000000,.3000000000000000E+31,-3449118.183501721
656.0000000000,.3000000000000000E+31,-3432652.591000997
657.0000000000,.3000000000000000E+31,-3429424.780905772
658.0000000000,.3000000000000000E+31,-3421695.835194151
659.0000000000,.3000000000000000E+31,-3404218.983301248
660.0000000000,.3000000000000000E+31,-3397927.632136873
661.0000000000,.3000000000000000E+31,-3381075.760009301
662.0000000000,.3000000000000000E+31,-3375356.537105602
663.0000000000,.3000000000000000E+31,-3365706.367641263
664.0000000000,.3000000000000000E+31,-3918875.122243511
665.0000000000,.3000000000000000E+31,-5036961.066678035
666.0000000000,.3000000000000000E+31,-3726596.382034874
667.0000000000,.3000000000000000E+31,-3497137.230587301
668.0000000000,.3000000000000000E+31,-3482201.576119656
669.0000000000,.3000000000000000E+31,-3461450.200024943
670.0000000000,.3000000000000000E+31,-3456864.949469898
671.0000000000,.3000000000000000E+31,-4254988.772203911
672.0000000000,.3000000000000000E+31,-4080288.065492288
673.0000000000,.3000000000000000E+31,-3543951.410866328
674.0000000000,.3000000000000000E+31,-3726246.704922543
675.0000000000,.3000000000000000E+31,-4229392.043300915
676.0000000000,.3000000000000000E+31,-3569974.274648355
677.0000000000,.3000000000000000E+31,-3543993.288436865
678.0000000000,.3000000000000000E+31,-5120550.462236824
679.0000000000,.3000000000000000E+31,-4432596.043029184
680.0000000000,.3000000000000000E+31,-3696707.167833611
681.0000000000,.3000000000000000E+31,-4975408.226102086
682.0000000000,.3000000000000000E+31,-4835385.241544561
683.0000000000,.3000000000000000E+31,-3823802.222485903
684.0000000000,.3000000000000000E+31,-4093077.853102955
685.0000000000,.3000000000000000E+31,-5457414.404000861
686.0000000000,.3000000000000000E+31,-4562597.716474755
687.0000000000,.3000000000000000E+31,-3934598.297144725
688.0000000000,.3000000000000000E+31,-3900336.844035037
689.0000000000,.3000000000000000E+31,-3875526.973370796
690.0000000000,.3000000000000000E+31,-3855806.758511950
691.0000000000,.3000000000000000E+31,-3839515.255905436
692.0000000000,.3000000000000000E+31,-3820347.221292093
693.0000000000,.3000000000000000E+31,-4389521.285966720
694.0000000000,.3000000000000000E+31,-4976997.858807775
695.0000000000,.3000000000000000E+31,-5501840.847507729
696.0000000000,.3000000000000000E+31,-4011109.443789584
697.0000000000,.3000000000000000E+31,-3966622.703242308
698.0000000000,.3000000000000000E+31,-3942875.776609630
699.0000000000,.3000000000000000E+31,-3922269.963321909
700.0000000000,.3000000000000000E+31,-4263984.434430080
701.0000000000,.3000000000000000E+31,-4749757.609453625
702.0000000000,.3000000000000000E+31,-3936988.123601330
703.0000000000,.3000000000000000E+31,-3905370.200274048
704.0000000000,.3000000000000000E+31,-3889147.788456174
705.0000000000,.3000000000000000E+31,-3867016.788474162
706.0000000000,.3000000000000000E+31,-3851955.670448367
707.0000000000,.3000000000000000E+31,-3837071.956910578
708.0000000000,.3000000000000000E+31,-3829376.286271938
709.0000000000,.3000000000000000E+31,-3808420.096682858
710.0000000000,.3000000000000000E+31,-3798781.923546954
711.0000000000,.3000000000000000E+31,-3784844.690290134
712.0000000000,.3000000000000000E+31,-3766728.990381638
713.0000000000,.3000000000000000E+31,-3757673.959976508
714.0000000000,.3000000000000000E+31,-3921997.091454707
715.0000000000,.3000000000000000E+31,-4830182.176168945
716.0000000000,.3000000000000000E+31,-3817262.320755464
717.0000000000,.3000000000000000E+31,-3790262.960093914
718.0000000000,.3000000000000000E+31,-3774806.834382852
719.0000000000,.3000000000000000E+31,-4627688.191918097
720.0000000000,.3000000000000000E+31,-6314846.799318615
721.0000000000,.3000000000000000E+31,-4012748.346903388
722.0000000000,.3000000000000000E+31,-4053386.296696407
723.0000000000,.3000000000000000E+31,-4010219.490330728
724.0000000000,.3000000000000000E+31,-3927647.608210047
725.0000000000,.3000000000000000E+31,-3917369.978044929
726.0000000000,.3000000000000000E+31,-3896955.884890665
727.0000000000,.3000000000000000E+31,-5375261.843663516
728.0000000000,.3000000000000000E+31,-3983016.778192641
729.0000000000,.3000000000000000E+31,-3945442.216257811
730.0000000000,.3000000000000000E+31,-4877687.930335294
