total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
1601,471.0000000000000,107,1,3,2,-.2661439911017141,1,,6205
1603,471.0000000000000,107,1,4,2,-.5447243750843711E-01,1,,6205
1621,472.0000000000000,108,1,1,18,-6.130582934266251,1,,2480
1627,472.0000000000000,108,1,2,6,-1.356596837592896,1,,7888
1629,472.0000000000000,108,1,3,2,.1835817747915200,1,,7888
1631,472.0000000000000,108,1,4,2,.5527047585896838E-01,1,,7888
1643,473.0000000000000,109,1,1,12,-.7977665919759040,1,,6205
1645,473.0000000000000,109,1,2,2,-.6506980637695783,1,,6289
1647,473.0000000000000,109,1,3,2,.6099336352865947E-01,1,,6289
1654,474.0000000000000,110,1,1,7,-.2813352483561218,1,,36949
1657,474.0000000000000,110,1,2,3,-.1881996895463587,1,,8218
1659,474.0000000000000,110,1,3,2,.3308163935179920E-01,1,,8218
1669,475.0000000000000,111,1,1,10,-.4064880126670296,1,,6210
1671,475.0000000000000,111,1,2,2,-.1565473571150413,1,,5533
1673,475.0000000000000,111,1,3,2,.1998551259349890E-01,1,,2586
1680,476.0000000000000,112,1,1,7,-.3072581136958323,1,,35858
1683,476.0000000000000,112,1,2,3,-.6393198993058746E-01,1,,9112
1690,477.0000000000000,113,1,1,7,-.1122583373028005,1,,2581
1693,477.0000000000000,113,1,2,3,-.6540823624870029E-01,1,,7543
1700,478.0000000000000,114,1,1,7,-.1006357233062287,1,,2582
1703,478.0000000000000,114,1,2,3,-.8655591916133076E-01,1,,36615
1707,479.0000000000000,115,1,1,4,-.1524918502514936,1,,21327
1710,479.0000000000000,115,1,2,3,-.6729473176334011E-01,1,,6457
1714,480.0000000000000,116,1,1,4,-.9462951420469068E-01,1,,6626
1721,481.0000000000000,117,1,1,7,-.7547171766364347E-01,1,,2583
1729,482.0000000000000,118,1,1,8,.8217048106367564,1,,6377
1734,482.0000000000000,118,1,2,5,.3032545695762154,1,,2407
1736,482.0000000000000,118,1,3,2,-.1401653667806002E-01,1,,6626
1742,483.0000000000000,119,1,1,6,-.8006335771777344,1,,6377
1747,483.0000000000000,119,1,2,5,-.2701615129013568,1,,6039
1748,483.0000000000000,119,1,3,1,.7939800308761846E-02,1,,8053
1752,484.0000000000000,120,1,1,4,-.7295554063624365E-01,1,,6626
1759,485.0000000000000,121,1,1,7,-.1564035341863672,1,,20906
1762,485.0000000000000,121,1,2,3,-.7127548085114199E-01,1,,36530
1780,486.0000000000000,122,1,1,18,-17.57984749444681,1,,211067
1782,486.0000000000000,122,1,2,2,-.7475921464424573E-01,1,,8609
1788,487.0000000000000,123,1,1,6,-.1714207115455082,1,,241817
1793,487.0000000000000,123,1,2,5,-.1153732803730065,1,,227344
1794,487.0000000000000,123,1,3,1,.4079222018454232E-02,1,,51817
1798,488.0000000000000,124,1,1,4,-.1157066532934365,1,,54471
1801,488.0000000000000,124,1,2,3,-.5880811512978301E-01,1,,3760
1805,489.0000000000000,125,1,1,4,-.9769612647065173E-01,1,,54471
1812,490.0000000000000,126,1,1,7,-.1891131518435323,1,,6040
1815,490.0000000000000,126,1,2,3,-.3823002577701828E-01,1,,4413
1819,491.0000000000000,127,1,1,4,-.1176795801882982,1,,4188
1822,491.0000000000000,127,1,2,3,-.3902494790218469E-01,1,,232780
1826,492.0000000000000,128,1,1,4,-.1739252102443345,1,,21667
1829,492.0000000000000,128,1,2,3,-.4812966001222030E-01,1,,3893
1833,493.0000000000000,129,1,1,4,-.6581377893270712E-01,1,,54387
1840,494.0000000000000,130,1,1,7,-.1452589947919591,1,,6796
1843,494.0000000000000,130,1,2,3,-.5139049974936682E-01,1,,8711
1846,495.0000000000000,131,1,1,3,-.7014925521095705E-01,1,,23627
1853,496.0000000000000,132,1,1,7,-.1459251489241176,1,,5448
1856,496.0000000000000,132,1,2,3,-.1196731913273155,1,,6036
1857,496.0000000000000,132,1,3,1,.3739423170001643E-02,1,,3056
1860,497.0000000000000,133,1,1,3,-.6981298270125436E-01,1,,3130
1867,498.0000000000000,134,1,1,7,-.1108311724072166,1,,8919
1870,498.0000000000000,134,1,2,3,-.1040117890314178,1,,5364
1871,498.0000000000000,134,1,3,1,.3479572790713092E-02,1,,51231
1874,499.0000000000000,135,1,1,3,-.6259026341722418E-01,1,,38071
1881,500.0000000000000,136,1,1,7,-.1771390125609482,1,,20739
1884,500.0000000000000,136,1,2,3,-.5351744748217158E-01,1,,8423
1889,501.0000000000000,137,1,1,5,.5430017547439689,1,,8524
1891,501.0000000000000,137,1,2,2,-.8211932764787377E-01,1,,6715
1898,502.0000000000000,138,1,1,7,-.3965465902905052,1,,8524
1901,502.0000000000000,138,1,2,3,-.4205224593429513E-01,1,,35943
1905,503.0000000000000,139,1,1,4,-.1889112355519345,1,,6379
1908,503.0000000000000,139,1,2,3,-.5267563623310245E-01,1,,35774
1919,504.0000000000000,140,1,1,11,1.773183589084702,1,,6377
1926,504.0000000000000,140,1,2,7,.6419475710667033,1,,2410
1929,504.0000000000000,140,1,3,3,-.1847166420994171,1,,5367
1931,504.0000000000000,140,1,4,2,-.3741851221985115E-01,1,,5367
1938,505.0000000000000,141,1,1,7,-1.753862708173429,1,,6377
1944,505.0000000000000,141,1,2,6,-.5645574043714348,1,,36530
1946,505.0000000000000,141,1,3,2,.4849540872233149E-01,1,,9111
1950,506.0000000000000,142,1,1,4,-.4137007556229086,1,,6379
1953,506.0000000000000,142,1,2,3,-.1808055085410629,1,,6036
1954,506.0000000000000,142,1,3,1,-.3425372569829221E-02,1,,54203
1958,507.0000000000000,143,1,1,4,-.2164168292566231,1,,5451
1961,507.0000000000000,143,1,2,3,-.1452586102767128,1,,8711
1962,507.0000000000000,143,1,3,1,.2623617967342895E-02,1,,19098
1965,508.0000000000000,144,1,1,3,-.1678610392221991,1,,6715
1968,508.0000000000000,144,1,2,3,-.7578226867439142E-01,1,,5367
1971,509.0000000000000,145,1,1,3,-.1120004573094384,1,,5367
1974,509.0000000000000,145,1,2,3,-.1245958875993818,1,,5198
1975,509.0000000000000,145,1,3,1,.3259050147370601E-02,1,,66999
1978,510.0000000000000,146,1,1,3,-.8869485718202519E-01,1,,5280
1985,511.0000000000000,147,1,1,7,-.7642881233712728E-01,1,,9098
1988,512.0000000000000,148,1,1,3,-.6216103373571258E-01,1,,6189
1995,513.0000000000000,149,1,1,7,-.1482555768068075,1,,6797
1998,513.0000000000000,149,1,2,3,-.3266650613146993E-01,1,,37490
2001,514.0000000000000,150,1,1,3,-.6019078044262471E-01,1,,38369
2008,515.0000000000000,151,1,1,7,-.1590065266450615,1,,36111
2011,515.0000000000000,151,1,2,3,-.3273799588462367E-01,1,,8174
2014,516.0000000000000,152,1,1,3,-.8576998619496834E-01,1,,39106
2030,517.0000000000000,153,1,1,16,-28.32529367640330,1,,100335
2033,517.0000000000000,153,1,2,3,-.6629801841169325E-01,1,,223817
2039,518.0000000000000,154,1,1,6,-.2569717906205042,1,,54471
2044,518.0000000000000,154,1,2,5,-.1383645147122863,1,,227259
2045,518.0000000000000,154,1,3,1,.3068900185347445E-02,1,,19674
