time,USGS_S_2040,USGS_S_2048,USGS_S_2063,USGS_S_2106,USGS_S_2119,USGS_S_2123,USGS_S_2157,USGS_S_2178,USGS_S_2219,USGS_S_2232,USGS_S_2233,USGS_S_2491,USGS_S_2493,USGS_S_2499,USGS_S_2500,USGS_S_2504,USGS_S_2505,USGS_S_2512,USGS_S_2513,USGS_S_2530
490.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
491.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
492.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
493.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
494.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
495.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
496.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
497.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
498.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
499.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
