time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
520.0000000000,-11264.79678661241,-8561.671159530892,-10074.83887592353,-9378.567969466789,-9280.749761901789,-6340.810570196417,.000000000000000,.000000000000000
521.0000000000,-11191.64457359533,-8489.545313780678,-9890.010139233844,-9351.731260796856,-9254.742383761211,-6311.578693139970,.000000000000000,.000000000000000
522.0000000000,-11174.64831776498,-8472.912906560152,-9867.059128042640,-9325.349676916274,-9229.204357124981,-6283.794211846575,.000000000000000,.000000000000000
523.0000000000,-11158.01706954960,-8456.768568008967,-9847.100034374243,-9299.640834723348,-9204.202543682237,-6257.177711312092,.000000000000000,.000000000000000
524.0000000000,-11142.21116933057,-8442.143578136074,-9838.766507843744,-9274.830847415838,-9179.808557426883,-6231.533163747635,.000000000000000,.000000000000000
525.0000000000,-11126.31912355874,-8427.158290341147,-9826.091697115082,-9250.828708851686,-9156.004894963216,-6206.707578164803,.000000000000000,.000000000000000
526.0000000000,-11110.40549692842,-8411.984410557836,-9810.790163785010,-9227.516336947647,-9132.752943033240,-6182.581204357647,.000000000000000,.000000000000000
527.0000000000,-11094.52703747864,-8396.742085976213,-9793.921326148247,-9204.784675820196,-9110.006511383677,-6159.059283485264,.000000000000000,.000000000000000
528.0000000000,-11078.70130068023,-8381.492435201199,-9776.138675034175,-9182.542075909540,-9087.717170569395,-6136.064741423576,.000000000000000,.000000000000000
529.0000000000,-11062.96319099214,-8366.305556111800,-9757.857142574238,-9160.722351932753,-9065.848122161071,-6113.537929506406,.000000000000000,.000000000000000
530.0000000000,-11047.32225685521,-8351.203463257714,-9739.333274289816,-9139.273784176312,-9044.364090785755,-6091.429735772280,.000000000000000,.000000000000000
531.0000000000,-11031.78495490050,-8336.194244588110,-9720.722823899565,-9118.154137050538,-9023.229017414766,-6069.697788186203,.000000000000000,.000000000000000
532.0000000000,-11016.34245940341,-8321.278003426725,-9702.119758145658,-9097.329494230542,-9002.410428822279,-6048.305477162800,.000000000000000,.000000000000000
533.0000000000,-11000.98241101278,-8306.420850686913,-9683.564762174072,-9076.761088607527,-8981.862422070355,-6027.213914810362,.000000000000000,.000000000000000
534.0000000000,-10985.72848385701,-8291.666658403998,-9665.096295619986,-9056.427350706022,-8961.560500013706,-6006.394191581611,.000000000000000,.000000000000000
535.0000000000,-10971.38944005456,-8277.389250883007,-9646.802974700940,-9036.324231649443,-8941.492581401384,-5985.825974421336,.000000000000000,.000000000000000
536.0000000000,-10973.04785938147,-8279.731476851479,-9650.407102663128,-9037.547043800152,-8942.105723285607,-5989.120103969538,.000000000000000,.000000000000000
537.0000000000,-11003.29233357668,-8304.849727654861,-9675.582084977010,-9058.687091794773,-8961.102788510865,-6012.727728881903,.000000000000000,.000000000000000
538.0000000000,-10952.03995156755,-8261.606185130237,-9648.893241220670,-9035.141992426023,-8938.075853270353,-5986.781996145371,.000000000000000,.000000000000000
539.0000000000,-10938.45166864854,-8247.410105329884,-9625.087796132702,-9012.211351035028,-8915.499833621219,-5962.022342223493,.000000000000000,.000000000000000
540.0000000000,-10924.59078200140,-8233.266409724967,-9603.210639613735,-8989.875120946732,-8893.399774044861,-5938.231929248933,.000000000000000,.000000000000000
541.0000000000,-10910.57640286989,-8219.190932696121,-9582.662516136894,-8968.152034953548,-8871.876166059705,-5915.373902147477,.000000000000000,.000000000000000
542.0000000000,-10896.43878189767,-8205.136500695475,-9563.025714260599,-8946.934550596894,-8850.787642966647,-5893.190677106227,.000000000000000,.000000000000000
543.0000000000,-10882.24543165709,-8191.128036550392,-9544.035885197887,-8926.154514993719,-8830.075256398026,-5871.543085488550,.000000000000000,.000000000000000
544.0000000000,-10868.04618976219,-8177.186268015221,-9525.524589081544,-8905.765518995369,-8809.714811992197,-5850.356066023737,.000000000000000,.000000000000000
